lord_id,name,alliance_id,alliance_tag,town_center,home_server,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
42613,BigDobz,277035,INFT,25,152,76870467,24071,95455617,Wilderburg,1105682,76870467,25694334,27505435,16783618,6759080,737242,178335070,120,13877,100604,141,2272571971,2307320473,1722055046,912188755,5811,2247227558,466,80464,3890037837,3982575906,2776879257,1312970976,-,23846204,47098128,2049517,897119,21267316
13054579,ƁЯØҜɆN,239363,ASC~,25,324,76727805,24071,763912328,League of Order,6340270,84611170,21162742,28658655,18680998,8225410,1325747,437314490,638,33821,177193,1047,1108526111,1077230715,942914816,3524408808,773,686900721,141,104264,10321755119,13311203980,8747723844,5233455014,-,157336325,448329591,21375949,51844498,84644000
6287750,ᵃˡᵖʰᵃ Diripiam,198884,14XS,25,191,76590069,24071,90047508,League of Order,344334,76590069,23924803,26544258,18680998,7440010,1885626,246772048,92,30334,61522,336,1965810209,2108334197,1586460775,1042886560,1788,91704032,23,50257,5619559842,6823986616,4337674150,2624009743,-,21552769,58658929,1741546,1234620,6748914
5168648,КРЯЖ МАКС ВеК,287905,BeK,25,115,76553848,24071,91374021,Springwardens,3792802,77935210,21159992,26944758,18680998,9768100,2738072,408618245,56,58797,81249,168,2328483502,3692546755,1955941805,3593833135,70,112500000,30,134559,11768181382,15062001658,6086475838,5189753091,-,42657063,35674550,4594509,2894452,5463108
9736318,북파공작원,-,-,25,218,76526997,218,90325827,League of Order,-,76526997,23527845,29732214,18267538,4931700,690222,102431386,400,14811,63192,780,1374936210,1735883119,1127895308,469587220,9209,-,-,90210,808548498,1759036134,1172983360,824448571,-,23805330,52887174,6184302,4092184,3218700
3861594,ᴰᵃʳᵏ Chocapix,298362,SVR,25,473,76474858,24071,84974729,League of Order,2200667,100205057,23368062,28307168,18267538,6532090,285650,272932415,21,19779,81305,783,2870287655,2655684613,2509655125,2266183035,24448,1920842553,395,106021,7023225053,6713005469,5646797054,3801210507,-,29161101,32602024,1249498,310678,21638728
13459186,ᵘⁿʰᵒˡʸFnaticOP,270507,WIRA,25,380,76284294,24071,163813937,Wilderburg,2310662,81428657,26945745,27505435,15477114,6356000,1330842,215506143,106,17984,89992,560,1809238889,1152017803,1264627714,1924832273,1505,1718224924,353,122769,7350632082,5651452832,5840426051,2876879532,-,65704355,54266248,1065865,933965,41792062
9673193,서울우유,189012,-NVD,25,218,76231113,24071,119236182,Wilderburg,2294673,90612219,17677144,31732531,18680998,8140440,1561312,266358859,1,53894,52726,48,1195897079,1205386602,600911389,881349410,10,173427574,35,50909,7389347317,7719941939,5003101416,3463333639,-,47425966,61836796,2539108,1631821,5798699
49062,Mahy,306480,-I-,25,509,76154773,24071,205447447,League of Order,1121111,76154773,23083838,27865677,18680998,6356260,504973,312564122,182,16068,197069,358,2150364145,2253931046,1302663132,1502118574,61847,1437174936,308,94716,7342461162,7716111902,5702003353,3480435550,-,96750028,91645150,1489586,540491,14969016
3897192,ᴰᵃʳᵏ Nøctix,298362,SVR,25,473,76148187,24071,633073839,League of Order,7257765,120295141,18178218,31732531,18442498,7794940,1754705,461686767,648,49308,200207,2503,1956166199,2344905098,1307818097,3506652595,3751,6569419444,1375,150455,11747846598,12961910048,9971191938,5867248950,-,201321962,254918607,6420610,4442037,165596384
12014899,ᴿᶜ ʚYunaɞ ᵏᶦʷᶦ,322980,-RC-,25,168,76128467,24071,115626058,League of Order,1089761,76128467,26791451,24771528,16783618,7717870,836008,199203073,55,21246,88722,454,1751139196,1997143686,621455065,1165782199,6712,8,1,66604,4217775583,4743257110,3453112401,1898596963,-,22485456,76713770,7357433,4018911,4993123
10490804,Komaˣᵈᵈ,270507,WIRA,25,380,76113203,24071,274204146,League of Order,2780497,107733349,18323914,31732531,18680998,7375760,1679994,311426281,73,62777,158039,686,1603235650,1650046108,1185064995,3528919557,1032,15000009,4,76840,7208392132,8830749368,5473488685,4524334910,-,131823441,108281067,4067347,1740688,28272943
4194126,ᴿᶜPeaLicT,322980,-RC-,25,168,75867774,24071,131280532,League of Order,484646,83372640,23933820,28386096,17965428,5454430,924903,344012974,77,12649,102600,569,5740453447,6075496762,3803430036,2809979702,42161,135209,2,144085,6018602004,5926359791,3727225417,2761737498,-,27427554,76878152,1326012,777230,24813406
11628068,Suinnm,274856,FFA-,25,201,75811009,24071,116551187,League of Order,556708,78746628,20179591,30936040,18442498,6092320,746709,217950945,189,20677,59220,487,1786914656,1928303274,1240750786,1595409351,3127,2902402309,619,60947,7013408377,7854225059,5850873172,3258719624,-,23428673,69160026,2054461,926275,20946530
9680414,상큼한귤,189012,-NVD,25,218,75782035,24071,92729205,League of Order,2073125,94883414,22765165,31171532,17561458,4027880,727872,200042526,18,45432,71689,191,2510718515,2472592593,845711793,3192623542,20913,30000000,6,84079,6773610865,7055228565,3913478343,3567424342,-,26687763,59639574,518542,302908,5571426
4546940,Галант,287905,BeK,25,115,75693544,24071,122223340,Springwardens,1896803,78601200,22593287,26271699,18680998,8147560,1615348,417766375,253,59963,92006,120,3517601369,3831516739,2656468905,2679158314,2092,4648628,1,119145,10953757939,12482356049,7491326290,5110181439,-,50484577,57399334,4409783,1441520,8419023
1663520,ᴿᵏᵀGOR,277035,INFT,25,152,75672727,24071,56141963,League of Order,-,75697197,27751697,21163092,18680998,8076940,280567,262879085,32,28141,37407,780,2815200915,2751234853,2040242801,1325479464,766,58438939,52,109355,6442199588,6853503338,4917751086,2731051969,-,15921383,37297947,1118748,125804,1662643
4831979,Nutchapol,277035,INFT,25,152,75506281,24071,81441680,League of Order,1750295,75506281,26759002,24677721,17372718,6696840,957552,291281772,43,20132,67804,367,3475589644,4392505132,3170452952,1585951908,5037,44691795,13,80049,6000888055,6869343218,4858718953,2797944255,-,37846608,34320752,2568060,999493,5652011
15026064,RED000000000,-,-,25,380,75469760,380,58702203,Springwardens,-,75469760,26512559,26944758,17378993,4633450,482700,117011924,53,15910,71721,178,2792907275,2112458893,1823576400,1357256726,2843,81611102,22,44527,6636354800,5041644434,4594007003,2743179072,-,29099419,22920623,1901590,569341,4198700
7134934,Lord Gao,239363,ASC~,25,324,75458304,24071,432770849,Wilderburg,4101126,93652729,22552779,27312537,18524608,7068380,2969431,451114788,580,42823,189152,759,3184213756,2357613030,2071593691,4701488833,21590,848845728,235,118969,10914296811,8205002297,7399155431,5163674002,-,122736586,213328051,8330499,2220543,85756730
1587654,Brolyᴾᵛᴾ,183482,FSK,25,36,75442177,24071,735093795,Wilderburg,9141508,102112574,22499042,31732531,15910724,5299880,1984336,360646668,729,78451,102476,760,950599884,936763595,1136047785,2181605982,63,115033393,25,106201,5602050545,5760809956,4714727347,4083530139,-,233858121,426876202,16081062,7528492,50202830
9672912,G70,189012,-NVD,25,218,75428874,24071,300526516,Wilderburg,3897056,99783534,18527255,31732531,18524608,6644480,2650492,411971572,135,59546,110005,338,3314284289,3500931127,1990814784,1870225786,9419,6747944,2,129174,8294579735,8749942126,5766065303,4371425693,-,93748963,188111080,1852868,1578648,15174907
5109030,ᵀʰᵉWandererᴴᴮˣ,287905,BeK,25,115,75420439,24071,85721418,League of Order,1423690,78779685,23635542,26271699,18267538,7141660,1272263,253992267,58,27969,70730,656,695180648,765934585,570614846,1003876845,115,40000000,8,77320,4816293606,5789353920,4053454154,2277723463,-,39073716,39114419,3323031,615817,3545802
7156860,Redman1067,239363,ASC~,25,324,75419516,24071,46493443,League of Order,760640,77814004,20883941,27865677,18680998,7988900,808940,160642622,82,10845,55691,65,2199641150,2249256264,1904259090,841256438,1326,777414723,158,75975,4490090428,5282660808,3764754882,2095589948,-,20153300,17601098,465576,167504,8076894
12654023,Informático,298362,SVR,25,473,75325455,24071,244958914,Wilderburg,770013,75366455,25763147,23748450,18361658,7452200,1159128,284270068,244,15468,92806,927,6455956285,5713344015,3788167694,2562727943,25679,1066834047,217,181161,8788510253,8521280635,5523266695,3071565295,-,37471332,107847294,3099083,1049842,95427480
7621263,さBAHZAD足,239363,ASC~,25,324,75237782,24071,221601484,League of Order,3926163,105747455,16138823,31732531,18482248,8692180,894537,533890327,18,68858,138511,496,6241623566,6245384791,3387908745,2736119905,6073,16000000,4,156491,10587897184,11721753222,7234147029,5658817382,-,89234571,95656177,1882357,411203,34402325
13179225,ᵘⁿʰᵒˡʸ Kratos,277035,INFT,25,152,74932000,24071,109362635,League of Order,3005229,75039744,25103844,26408588,18071058,5284510,1433371,123921398,209,12120,57108,614,910805651,807069414,603408350,1238955409,254,950954933,201,56700,4571254086,5002946044,4044958478,2169658373,-,27773689,53428003,2662138,1186070,24275517
733728,ˢᶦᵍᵐᵃ Maicon br,198851,K191,25,191,74828277,24071,72649859,Wilderburg,261005,74839111,24222550,25715439,18325858,6460430,2547664,247900623,310,33916,51528,771,2265372828,2321794243,1919262025,2682625924,1694,137093146,34,76367,7412303636,6665696836,5261502481,3145905379,-,25244822,26675972,1914986,901712,17775875
14970673,Btown,270507,WIRA,25,380,74543947,24071,51753293,Wilderburg,2697194,74543947,24456575,26124154,17548018,6415200,446846,194876040,49,40676,73901,151,3365058537,3480227169,1961456674,1443580016,-,9000000,2,69625,7965429091,9045733581,4025587207,3203616580,-,29179663,14444850,672955,499022,6943747
20213663,ᵈᵒᵏⁱ Gloria,270507,WIRA,25,380,74240652,24071,421961124,League of Order,7100863,92137644,16898133,31732531,18680998,6928990,1661123,156174431,927,19305,62010,404,83590650,195467714,68326206,1302000651,1038,262224043,58,63439,8264931007,8692129373,6549529589,4642866664,-,31707628,331332848,23596906,4517385,30328120
12412388,ᴿᶜ PLEIKU ᴿᶜ,322980,-RC-,25,168,74188544,24071,109576499,Springwardens,300555,74190044,23284609,27465177,18171398,5267360,931925,201354017,59,15980,81385,573,4154016352,3338395892,2998088671,1842168919,24063,190185567,43,134633,5192046714,4970264400,3466749091,2156780001,-,17154357,77228494,4581784,1795368,8760582
