lord_id,name,alliance_id,alliance_tag,town_center,home_server,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
3245882,MaglayinMx,276578,FR_X,25,403,108204082,403,178200161,League of Order,0,"108,210,872",51690155,31732531,18680998,5999280,1642004,255237126,148,50963,129383,207,3196443888,2907301440,1761535424,1628304167,345,190001748,40,81595,7486221309,7329047948,5065384329,4309438163,-,80615898,79982771,3050200,1880698,12282875
489169,RhamerR,196212,ED',25,17,108149933,17,199171076,Wilderburg,0,"108,200,963",51476444,31732531,18680998,6003960,859575,210695662,112,34668,170826,1665,2765333960,2701158376,2070570366,1864093335,519,91772354,24,83630,4710361698,4441870637,3150347344,2936243591,-,90938827,80329083,3444962,742879,23589387
6326222,ᵘⁿʰᶦⁿᵍᵉᵈ JodeStar,290397,ED',25,17,107830371,17,373344776,League of Order,0,"108,145,051",47835222,31732531,18680998,9581620,1552876,658396660,50,69151,166790,975,3163677627,4815077527,2966629196,3631196572,3418,407808482,85,167045,10767393790,15078938492,9611965557,6651904718,-,161531629,110797832,4696940,4977392,91266317
4878872,oᵜoAepmongᵀᴴ ヅ,196212,ED',25,17,108137602,17,421313491,Wilderburg,0,"108,137,602",50211393,31732531,18680998,7320680,2114516,429916669,783,61106,118307,1006,2894742655,3033911433,1694419180,2002020331,596,196009099,44,134430,8881935446,9252668886,4811211374,4599833661,-,104490683,247620370,12327386,7126092,49352794
11215295,Meloden007,196212,ED',25,17,108122851,17,297501667,Wilderburg,0,"108,122,851",50820512,31732531,18384178,7057630,1815891,373896190,38,90484,113804,420,4121545697,1707236727,2801178010,4393741088,12040,97973112,22,96762,13469028374,8017564567,8530515760,6929858274,-,168345072,108276595,2736706,941122,17189659
8347513,DrewKems,276578,FR_X,25,403,108098243,403,222291783,League of Order,0,"108,101,467",49784755,31366440,18680998,8266050,148164,480958950,61,118539,166700,650,5547246357,5057131747,3096319221,4557756042,139142,65007916,18,171622,9463568144,9127316841,5113340621,5396346447,-,106932453,98930695,3636317,1531864,11179777
3502727,ᴹʸⁿᵃᵐᵉOnimusha㋛,196212,ED',25,17,108089129,17,304524922,Wilderburg,0,"108,089,129",51155360,31732531,18325858,6771380,1306449,432851992,201,50739,135329,792,3587461479,3016153263,2746733828,1916766679,14977,32438509,10,97963,6851088914,6657344726,5117724777,3819493374,-,140320185,93446415,3813177,2583401,64215586
1236388,ᴹᴬᴰ JACK乛,268674,MAD!,25,376,108055496,376,118171741,League of Order,0,"108,055,496",50556157,31732531,18680998,6957810,863075,146629592,32,10837,97867,147,2224018290,2325145279,1527351302,1195801511,110,-,-,60266,3407202504,3549296221,2533140211,2094900042,-,49227693,60543915,1250824,630698,6486970
4673837,QuackpekED,196212,ED',25,17,107990497,17,398345796,League of Order,0,"107,992,347",51037798,31732531,18386788,6833380,1957764,361668970,105,134123,118529,516,1785528944,1809612737,1102453540,1593672011,3822,283592000,59,62826,6484404836,6369838927,3682128512,3451157252,-,217538060,116167936,3834513,2382185,58354668
5582708,ᵈᵉᵃᵗʰᵏⁿⁱᵍʰᵗ MORAX,196212,ED',25,17,107812632,17,289868052,Wilderburg,0,"107,812,632",50326653,31732531,18086018,7667430,1485832,457602528,307,74506,107815,1213,2830832558,2665671106,2041245052,1575612480,9600,87371556,45,88305,8707820469,8818845677,6126884172,4595317627,-,129219719,114676087,8264404,9259962,28250194
13916992,Felipe D Mist,268674,MAD!,25,376,107605528,376,323099137,Wilderburg,0,"107,666,918",52177469,31732531,18267538,5427990,2273848,353206056,258,72402,100474,518,1652316817,799340824,1340733953,4094018715,24,327790879,142,101274,11355714113,9777280553,6565241618,5109604681,-,99442864,173859042,11170183,4013047,34482407
583916,Bau,196212,ED',25,17,107501877,17,256782680,League of Order,0,"107,501,877",52989901,31732531,15640855,7138590,1651741,284825196,18,81296,114653,726,1990082029,1351064685,1412669916,1618295031,50,20000000,4,56648,5753540227,5149141244,3436371509,3308258541,-,131675878,104410493,1916427,718081,18022774
10906368,Which one is Pink,369276,-I-,25,509,107291049,509,358914028,League of Order,0,"107,291,049",51074990,31732531,18267538,6215990,713123,216593177,53,28818,251785,121,1723999754,2690761599,1825546198,3434770456,33942,4000000,8,95663,6852986629,8489401405,6708255734,5468327337,-,158374121,96706993,22068910,6827672,74917486
5323445,Sempra,276578,FR_X,25,403,107052961,403,290439764,League of Order,0,"107,052,961",50086502,31732531,18680998,6552930,729867,409984308,5,81961,110884,637,3793254066,3538516128,2711706905,2030660068,30362,117781471,27,102781,6597449546,6322604456,4442895678,3187822897,-,134279792,90282384,2302163,1172671,62396935
8428823,Sousa,276578,FR_X,25,403,106905437,403,276594761,Wilderburg,0,"106,976,087",49256478,31732531,18680998,6915430,1793927,472662752,83,52415,175700,767,2818838917,2641226638,2102338327,2518539310,64105,128247413,26,156982,10798247977,10490769001,7353238270,5873964422,-,148894392,88037583,1635512,653356,37298753
5229605,Pea007,251652,7Sin,25,344,106909240,344,130480142,League of Order,0,"106,911,850",50356411,31732531,17787858,7032440,654293,266784747,107,44010,107296,192,3164509380,4212458707,2630344094,2574601097,8715,-,-,103188,6458098330,8535903743,5210261310,4415821558,-,66749506,50525856,1226200,392455,11551357
10821480,GangOrca,196212,ED',25,17,106883383,17,254835747,League of Order,0,"106,883,383",47783754,31732531,18521998,8845100,1465728,372801574,215,52410,134488,418,2185492274,2380975122,1848515828,1385791099,1048,60000000,12,59898,7109341695,8551251149,6039925493,4251755594,-,140426774,80117915,3344218,1292687,29578185
1175959,Escan0r,369276,-I-,25,509,106628798,509,389166873,League of Order,0,"106,630,768",49989988,31171532,18347038,7120240,1929138,354501472,81,41943,213514,252,2938270293,3244873022,2449802545,1556467874,3957,408956965,85,79920,6247288469,6941976539,5292170431,3601144457,-,165026422,179006463,7814863,4534096,32741542
10976557,BiYuRi,268674,MAD!,25,376,106552884,376,203596557,League of Order,0,"106,552,884",50333745,31732531,17587768,6692440,1773905,247154078,84,37586,119834,223,2839593878,2640079937,2095501734,2104799838,6812,28136003,9,138556,8119238267,8787705572,5672022645,6035099883,-,94119328,90794735,3307883,2253225,13054949
8191448,ⁿᵃˢ ᴴᵉⁿᵗᵃᶦ Kitsune死,276578,FR_X,25,403,106486133,403,514966717,League of Order,0,"106,486,133",49786084,31732531,17548018,7419500,2245384,444174921,368,79237,246438,830,948071660,976392608,550555706,1977127300,25559,187434673,51,136577,10094198430,10732391910,5195604045,4526728977,-,264275346,172011890,6674763,4255288,67636589
